:chaewonshrug:,https://media.giphy.com/media/Rr7paWP3pBMUCXCbgu/giphy.gif
:yujinlaugh:,https://giphy.com/gifs/PFMCVd63moBoVSlSYQ
:yujinsmh:,https://media.giphy.com/media/FOMSrleyjfIwoy91Qb/giphy.gif
:yujinuhh:,https://media.giphy.com/media/uSyXIk4GG3oMMTzgWS/giphy.gif
:yujinhappy:,https://media.giphy.com/media/q3EuY6FBKbnJlJ9eEH/giphy.gif
:yujinshykek:,https://media.giphy.com/media/gMuyDXgnKCEoYZ5jpF/giphy.gif
:yujinnod:,https://media.giphy.com/media/cj9eVb9PdFpCRDyIth/giphy.gif
:yujinhaha:,https://media.giphy.com/media/vFd1ZJvnLWJx5IbJZw/giphy.gif
:yujinwatchingyou:,https://media.giphy.com/media/Ty4KFZL4YwAcHuTZ2n/giphy.gif
:yujinyousuck:,https://media.giphy.com/media/5V1WIl1DYk4hGpytKS/giphy.gif
:yujincatallena:,https://media.giphy.com/media/pQii8IoqGPcd06D5sw/giphy.gif